"","ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR"
"1","walking",0.235,0.47,0.275,0.02,0,0,0,0,0,0,0,0,0.02,0.125,0.16,0.28,0.155,0.15,0.075,0.035,0.09,0.33,0.395,0.165,0.015,0.005,0,0,0,0,-1.17231,9.57064,0.406854,35.2727,50.2632,37.3077,1.59095,3.29508,1.60941,0.14117,0.283329,0.1598,0.375726,0.532286,0.39975
"2","walking",0.275,0.44,0.27,0.015,0,0,0,0,0,0,0,0,0.04,0.095,0.185,0.215,0.215,0.155,0.075,0.02,0.08,0.355,0.365,0.195,0,0.005,0,0,0,0,-1.50497,9.56583,0.432132,37.6,51.5789,39,1.77817,3.3349,1.68296,0.161229,0.287955,0.157993,0.401533,0.536614,0.397483
"3","walking",0.32,0.43,0.245,0,0.005,0,0,0,0,0,0,0,0.035,0.12,0.165,0.25,0.2,0.155,0.07,0.005,0.09,0.325,0.405,0.155,0.025,0,0,0,0,0,-1.6866,9.38592,0.474974,36.6038,49.2308,38.2,1.70505,3.14244,1.69288,0.1562,0.269307,0.159797,0.395221,0.518948,0.399746
"4","walking",0.315,0.495,0.185,0.005,0,0,0,0,0,0,0,0,0.04,0.1,0.19,0.21,0.2,0.18,0.065,0.015,0.07,0.34,0.41,0.14,0.04,0,0,0,0,0,-1.74661,9.54297,0.495973,35.4545,47.5,36.1538,1.62315,3.3279,1.57944,0.141721,0.283364,0.154396,0.376459,0.53232,0.392933
"5","walking",0.215,0.455,0.325,0.005,0,0,0,0,0,0,0,0,0.015,0.085,0.2,0.205,0.26,0.175,0.05,0.01,0.065,0.28,0.505,0.13,0.015,0.005,0,0,0,0,-1.07708,9.63711,0.619938,35.9259,51.3514,35.4545,1.48888,3.01196,1.45931,0.131537,0.256423,0.140283,0.362681,0.506383,0.374544
"6","walking",0.3,0.48,0.21,0.01,0,0,0,0,0,0,0,0,0.04,0.1,0.17,0.25,0.175,0.19,0.06,0.015,0.095,0.35,0.42,0.105,0.03,0,0,0,0,0,-1.59254,9.55948,0.293671,37.6923,49.4872,37.3077,1.69297,3.18166,1.59159,0.153693,0.274709,0.155012,0.392037,0.524127,0.393716
"7","walking",0.34,0.48,0.165,0.015,0,0,0,0,0,0,0,0,0.05,0.09,0.17,0.215,0.22,0.185,0.04,0.03,0.095,0.39,0.37,0.135,0.005,0.005,0,0,0,0,-1.82659,9.57365,0.287647,37.5,50.7895,34.2105,1.64575,3.23433,1.62615,0.145932,0.27915,0.151522,0.38201,0.528346,0.389259
"8","walking",0.305,0.555,0.14,0,0,0,0,0,0,0,0,0,0.02,0.09,0.195,0.22,0.225,0.215,0.025,0.01,0.08,0.385,0.385,0.12,0.025,0.005,0,0,0,0,-1.89837,9.54464,0.372899,36.9811,50.2778,40.8511,1.5536,3.02638,1.68209,0.140023,0.254504,0.159331,0.374196,0.504484,0.399163
"9","walking",0.37,0.495,0.13,0.005,0,0,0,0,0,0,0,0,0.02,0.1,0.2,0.225,0.205,0.185,0.05,0.015,0.075,0.365,0.405,0.125,0.03,0,0,0,0,0,-1.90461,9.54443,0.393636,36.2264,48.9744,41.0417,1.4819,3.09543,1.56899,0.130393,0.264691,0.148817,0.3611,0.514482,0.385769
"10","walking",0.345,0.52,0.12,0.015,0,0,0,0,0,0,0,0,0.01,0.095,0.19,0.24,0.235,0.185,0.035,0.01,0.055,0.4,0.425,0.1,0.02,0,0,0,0,0,-1.92541,9.59277,0.434418,35.9259,42.7907,36.6038,1.65572,2.84983,1.49892,0.151229,0.243978,0.134758,0.388881,0.493941,0.367094
"11","walking",0.345,0.545,0.105,0.005,0,0,0,0,0,0,0,0,0,0.1,0.18,0.255,0.24,0.185,0.03,0.01,0.06,0.27,0.545,0.095,0.025,0.005,0,0,0,0,-1.98047,9.5672,0.578319,35.5556,52,37.4,1.45165,2.79845,1.38782,0.126238,0.236886,0.141943,0.3553,0.486709,0.376753
"12","walking",0.32,0.55,0.13,0,0,0,0,0,0,0,0,0,0.01,0.08,0.205,0.25,0.205,0.215,0.03,0.005,0.07,0.32,0.475,0.115,0.02,0,0,0,0,0,-2.02712,9.55181,0.42548,36.8627,46.1905,37.2549,1.53361,2.8361,1.48173,0.137483,0.241223,0.142671,0.370787,0.491145,0.377718
"13","walking",0.375,0.485,0.14,0,0,0,0,0,0,0,0,0,0.02,0.095,0.155,0.29,0.22,0.16,0.05,0.01,0.08,0.36,0.415,0.12,0.02,0.005,0,0,0,0,-2.12637,9.50989,0.435487,35,45.9524,36.7925,1.57525,2.92222,1.58255,0.138855,0.251445,0.14611,0.372633,0.501443,0.382244
